<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;27.09.2018;21:26:00;117460;117490;117460;117490;56
SPFB.RTS-12.18;1;27.09.2018;21:27:00;117480;117500;117470;117480;140
SPFB.RTS-12.18;1;27.09.2018;21:28:00;117480;117480;117420;117450;122
SPFB.RTS-12.18;1;27.09.2018;21:29:00;117460;117460;117420;117420;179
SPFB.RTS-12.18;1;27.09.2018;21:30:00;117420;117450;117400;117420;223
SPFB.RTS-12.18;1;27.09.2018;21:31:00;117410;117440;117410;117420;92
SPFB.RTS-12.18;1;27.09.2018;21:32:00;117440;117440;117430;117430;12
SPFB.RTS-12.18;1;27.09.2018;21:33:00;117440;117470;117410;117450;291
SPFB.RTS-12.18;1;27.09.2018;21:34:00;117460;117470;117440;117470;284
SPFB.RTS-12.18;1;27.09.2018;21:35:00;117480;117490;117430;117450;152
SPFB.RTS-12.18;1;27.09.2018;21:36:00;117450;117470;117430;117470;100
SPFB.RTS-12.18;1;27.09.2018;21:37:00;117470;117490;117460;117490;108
SPFB.RTS-12.18;1;27.09.2018;21:38:00;117480;117500;117480;117500;59
SPFB.RTS-12.18;1;27.09.2018;21:39:00;117500;117510;117490;117500;76
SPFB.RTS-12.18;1;27.09.2018;21:40:00;117510;117520;117490;117500;66
SPFB.RTS-12.18;1;27.09.2018;21:41:00;117490;117490;117480;117480;19
SPFB.RTS-12.18;1;27.09.2018;21:42:00;117480;117640;117460;117620;1485
SPFB.RTS-12.18;1;27.09.2018;21:43:00;117610;117620;117520;117580;562
SPFB.RTS-12.18;1;27.09.2018;21:44:00;117560;117570;117550;117550;77
SPFB.RTS-12.18;1;27.09.2018;21:45:00;117540;117560;117540;117550;22
SPFB.RTS-12.18;1;27.09.2018;21:46:00;117550;117570;117550;117570;64
SPFB.RTS-12.18;1;27.09.2018;21:47:00;117570;117570;117540;117550;98
SPFB.RTS-12.18;1;27.09.2018;21:48:00;117560;117560;117550;117550;30
SPFB.RTS-12.18;1;27.09.2018;21:49:00;117540;117560;117530;117540;93
SPFB.RTS-12.18;1;27.09.2018;21:50:00;117550;117550;117530;117550;33
SPFB.RTS-12.18;1;27.09.2018;21:51:00;117550;117560;117530;117540;63
SPFB.RTS-12.18;1;27.09.2018;21:52:00;117550;117550;117520;117520;80
SPFB.RTS-12.18;1;27.09.2018;21:53:00;117520;117540;117520;117540;47
SPFB.RTS-12.18;1;27.09.2018;21:54:00;117530;117570;117530;117570;47
SPFB.RTS-12.18;1;27.09.2018;21:55:00;117560;117570;117550;117570;52
SPFB.RTS-12.18;1;27.09.2018;21:56:00;117570;117590;117560;117560;55
SPFB.RTS-12.18;1;27.09.2018;21:57:00;117560;117560;117550;117560;11
SPFB.RTS-12.18;1;27.09.2018;21:58:00;117550;117560;117540;117540;31
SPFB.RTS-12.18;1;27.09.2018;21:59:00;117550;117560;117520;117520;36
SPFB.RTS-12.18;1;27.09.2018;22:00:00;117520;117520;117450;117470;187
SPFB.RTS-12.18;1;27.09.2018;22:01:00;117460;117470;117450;117460;113
SPFB.RTS-12.18;1;27.09.2018;22:02:00;117460;117490;117440;117480;150
SPFB.RTS-12.18;1;27.09.2018;22:03:00;117470;117510;117470;117490;71
SPFB.RTS-12.18;1;27.09.2018;22:04:00;117490;117500;117470;117470;101
SPFB.RTS-12.18;1;27.09.2018;22:05:00;117480;117510;117480;117500;83
SPFB.RTS-12.18;1;27.09.2018;22:06:00;117490;117540;117480;117540;89
SPFB.RTS-12.18;1;27.09.2018;22:07:00;117520;117530;117510;117510;26
SPFB.RTS-12.18;1;27.09.2018;22:08:00;117520;117540;117500;117540;188
SPFB.RTS-12.18;1;27.09.2018;22:09:00;117530;117530;117510;117510;20
SPFB.RTS-12.18;1;27.09.2018;22:10:00;117500;117500;117460;117470;103
SPFB.RTS-12.18;1;27.09.2018;22:11:00;117460;117480;117420;117430;165
SPFB.RTS-12.18;1;27.09.2018;22:12:00;117420;117450;117410;117450;68
SPFB.RTS-12.18;1;27.09.2018;22:13:00;117450;117470;117440;117460;55
SPFB.RTS-12.18;1;27.09.2018;22:14:00;117460;117470;117460;117470;4
SPFB.RTS-12.18;1;27.09.2018;22:15:00;117460;117460;117430;117430;73
SPFB.RTS-12.18;1;27.09.2018;22:16:00;117430;117460;117410;117420;128
SPFB.RTS-12.18;1;27.09.2018;22:17:00;117410;117430;117350;117370;280
SPFB.RTS-12.18;1;27.09.2018;22:18:00;117380;117380;117350;117360;197
SPFB.RTS-12.18;1;27.09.2018;22:19:00;117350;117430;117350;117430;140
SPFB.RTS-12.18;1;27.09.2018;22:20:00;117440;117440;117410;117410;73
SPFB.RTS-12.18;1;27.09.2018;22:21:00;117400;117400;117400;117400;54
SPFB.RTS-12.18;1;27.09.2018;22:22:00;117390;117390;117360;117360;74
SPFB.RTS-12.18;1;27.09.2018;22:23:00;117360;117370;117360;117370;31
SPFB.RTS-12.18;1;27.09.2018;22:24:00;117360;117380;117360;117360;179
SPFB.RTS-12.18;1;27.09.2018;22:25:00;117360;117370;117350;117360;78
SPFB.RTS-12.18;1;27.09.2018;22:26:00;117360;117370;117320;117320;149
SPFB.RTS-12.18;1;27.09.2018;22:27:00;117320;117350;117300;117310;183
SPFB.RTS-12.18;1;27.09.2018;22:28:00;117310;117370;117310;117370;175
SPFB.RTS-12.18;1;27.09.2018;22:29:00;117350;117370;117340;117340;92
SPFB.RTS-12.18;1;27.09.2018;22:30:00;117350;117370;117340;117370;41
SPFB.RTS-12.18;1;27.09.2018;22:31:00;117360;117360;117300;117330;118
SPFB.RTS-12.18;1;27.09.2018;22:32:00;117320;117350;117320;117330;38
SPFB.RTS-12.18;1;27.09.2018;22:33:00;117330;117350;117310;117320;24
SPFB.RTS-12.18;1;27.09.2018;22:34:00;117320;117340;117320;117330;52
SPFB.RTS-12.18;1;27.09.2018;22:35:00;117320;117370;117320;117340;43
SPFB.RTS-12.18;1;27.09.2018;22:36:00;117360;117370;117360;117370;29
SPFB.RTS-12.18;1;27.09.2018;22:37:00;117360;117390;117350;117380;64
SPFB.RTS-12.18;1;27.09.2018;22:38:00;117380;117400;117370;117380;108
SPFB.RTS-12.18;1;27.09.2018;22:39:00;117370;117400;117370;117390;30
SPFB.RTS-12.18;1;27.09.2018;22:40:00;117400;117400;117380;117390;68
SPFB.RTS-12.18;1;27.09.2018;22:41:00;117380;117380;117350;117360;73
SPFB.RTS-12.18;1;27.09.2018;22:42:00;117350;117350;117310;117340;89
SPFB.RTS-12.18;1;27.09.2018;22:43:00;117350;117380;117350;117360;52
SPFB.RTS-12.18;1;27.09.2018;22:44:00;117360;117370;117320;117320;54
SPFB.RTS-12.18;1;27.09.2018;22:45:00;117320;117320;117310;117310;41
SPFB.RTS-12.18;1;27.09.2018;22:46:00;117310;117350;117300;117350;89
SPFB.RTS-12.18;1;27.09.2018;22:47:00;117350;117370;117340;117350;67
SPFB.RTS-12.18;1;27.09.2018;22:48:00;117350;117370;117350;117350;40
SPFB.RTS-12.18;1;27.09.2018;22:49:00;117350;117350;117320;117330;17
SPFB.RTS-12.18;1;27.09.2018;22:50:00;117320;117320;117300;117310;45
SPFB.RTS-12.18;1;27.09.2018;22:51:00;117300;117330;117280;117330;84
SPFB.RTS-12.18;1;27.09.2018;22:52:00;117330;117360;117330;117360;20
SPFB.RTS-12.18;1;27.09.2018;22:53:00;117350;117360;117330;117350;15
SPFB.RTS-12.18;1;27.09.2018;22:54:00;117340;117340;117320;117340;63
SPFB.RTS-12.18;1;27.09.2018;22:55:00;117330;117350;117330;117340;24
SPFB.RTS-12.18;1;27.09.2018;22:56:00;117330;117370;117310;117350;210
SPFB.RTS-12.18;1;27.09.2018;22:57:00;117350;117370;117350;117360;49
SPFB.RTS-12.18;1;27.09.2018;22:58:00;117370;117390;117360;117360;163
SPFB.RTS-12.18;1;27.09.2018;22:59:00;117370;117610;117370;117510;1572
SPFB.RTS-12.18;1;27.09.2018;23:00:00;117510;117510;117380;117400;391
SPFB.RTS-12.18;1;27.09.2018;23:01:00;117380;117390;117320;117370;326
SPFB.RTS-12.18;1;27.09.2018;23:02:00;117370;117390;117360;117370;105
SPFB.RTS-12.18;1;27.09.2018;23:03:00;117380;117380;117340;117340;82
SPFB.RTS-12.18;1;27.09.2018;23:04:00;117350;117370;117350;117360;27
SPFB.RTS-12.18;1;27.09.2018;23:05:00;117360;117380;117330;117350;84
SPFB.RTS-12.18;1;27.09.2018;23:06:00;117330;117350;117310;117350;107
SPFB.RTS-12.18;1;27.09.2018;23:07:00;117350;117350;117300;117310;60
SPFB.RTS-12.18;1;27.09.2018;23:08:00;117330;117340;117320;117340;10
SPFB.RTS-12.18;1;27.09.2018;23:09:00;117320;117340;117310;117330;43
SPFB.RTS-12.18;1;27.09.2018;23:10:00;117340;117360;117330;117340;90
SPFB.RTS-12.18;1;27.09.2018;23:11:00;117330;117360;117300;117360;134
SPFB.RTS-12.18;1;27.09.2018;23:12:00;117350;117350;117350;117350;1
SPFB.RTS-12.18;1;27.09.2018;23:13:00;117350;117360;117330;117330;62
SPFB.RTS-12.18;1;27.09.2018;23:14:00;117320;117340;117300;117320;330
SPFB.RTS-12.18;1;27.09.2018;23:15:00;117320;117320;117270;117290;142
SPFB.RTS-12.18;1;27.09.2018;23:16:00;117270;117290;117250;117270;246
SPFB.RTS-12.18;1;27.09.2018;23:17:00;117260;117270;117250;117270;34
SPFB.RTS-12.18;1;27.09.2018;23:18:00;117260;117270;117250;117250;182
SPFB.RTS-12.18;1;27.09.2018;23:19:00;117270;117280;117250;117280;73
SPFB.RTS-12.18;1;27.09.2018;23:20:00;117280;117300;117270;117300;61
SPFB.RTS-12.18;1;27.09.2018;23:21:00;117290;117310;117290;117300;101
SPFB.RTS-12.18;1;27.09.2018;23:22:00;117320;117320;117300;117300;42
SPFB.RTS-12.18;1;27.09.2018;23:23:00;117310;117320;117300;117300;44
SPFB.RTS-12.18;1;27.09.2018;23:24:00;117300;117310;117280;117290;112
SPFB.RTS-12.18;1;27.09.2018;23:25:00;117300;117300;117290;117290;33
SPFB.RTS-12.18;1;27.09.2018;23:26:00;117290;117290;117280;117280;18
SPFB.RTS-12.18;1;27.09.2018;23:27:00;117270;117270;117270;117270;18
SPFB.RTS-12.18;1;27.09.2018;23:28:00;117270;117290;117270;117290;66
SPFB.RTS-12.18;1;27.09.2018;23:29:00;117290;117290;117290;117290;8
SPFB.RTS-12.18;1;27.09.2018;23:30:00;117280;117300;117280;117280;63
SPFB.RTS-12.18;1;27.09.2018;23:31:00;117270;117270;117240;117250;319
SPFB.RTS-12.18;1;27.09.2018;23:32:00;117240;117240;117180;117200;650
SPFB.RTS-12.18;1;27.09.2018;23:33:00;117200;117210;117160;117160;285
SPFB.RTS-12.18;1;27.09.2018;23:34:00;117160;117180;117160;117170;193
SPFB.RTS-12.18;1;27.09.2018;23:35:00;117170;117170;117140;117160;191
SPFB.RTS-12.18;1;27.09.2018;23:36:00;117170;117180;117080;117080;417
SPFB.RTS-12.18;1;27.09.2018;23:37:00;117080;117080;117040;117080;353
SPFB.RTS-12.18;1;27.09.2018;23:38:00;117070;117090;117040;117080;271
SPFB.RTS-12.18;1;27.09.2018;23:39:00;117090;117100;117050;117080;133
SPFB.RTS-12.18;1;27.09.2018;23:40:00;117100;117100;117050;117060;149
SPFB.RTS-12.18;1;27.09.2018;23:41:00;117050;117060;117000;117030;648
SPFB.RTS-12.18;1;27.09.2018;23:42:00;117010;117030;117000;117010;343
SPFB.RTS-12.18;1;27.09.2018;23:43:00;117010;117020;116990;117010;202
SPFB.RTS-12.18;1;27.09.2018;23:44:00;117010;117020;116960;116970;292
SPFB.RTS-12.18;1;27.09.2018;23:45:00;116960;117000;116960;116980;258
SPFB.RTS-12.18;1;27.09.2018;23:46:00;116990;117030;116980;117010;227
SPFB.RTS-12.18;1;27.09.2018;23:47:00;117010;117020;117000;117010;76
SPFB.RTS-12.18;1;27.09.2018;23:48:00;117010;117010;116980;117000;144
SPFB.RTS-12.18;1;27.09.2018;23:49:00;116990;117100;116960;117090;455
SPFB.RTS-12.18;1;27.09.2018;23:50:00;117090;117090;116960;117050;438
SPFB.RTS-12.18;1;29.10.2018;10:01:00;109720;109720;109200;109360;2943
SPFB.RTS-12.18;1;29.10.2018;10:02:00;109350;109400;109200;109220;1581
SPFB.RTS-12.18;1;29.10.2018;10:03:00;109220;109360;109200;109310;1226
SPFB.RTS-12.18;1;29.10.2018;10:04:00;109310;109350;109270;109270;676
SPFB.RTS-12.18;1;29.10.2018;10:05:00;109280;109300;109250;109270;687
SPFB.RTS-12.18;1;29.10.2018;10:06:00;109270;109320;109260;109320;808
SPFB.RTS-12.18;1;29.10.2018;10:07:00;109310;109410;109300;109370;916
SPFB.RTS-12.18;1;29.10.2018;10:08:00;109350;109370;109310;109350;673
SPFB.RTS-12.18;1;29.10.2018;10:09:00;109350;109350;109260;109290;940
SPFB.RTS-12.18;1;29.10.2018;10:10:00;109300;109310;109210;109250;1000
SPFB.RTS-12.18;1;29.10.2018;10:11:00;109260;109260;109120;109130;1785
SPFB.RTS-12.18;1;29.10.2018;10:12:00;109130;109220;109120;109220;738
SPFB.RTS-12.18;1;29.10.2018;10:13:00;109230;109290;109220;109270;519
SPFB.RTS-12.18;1;29.10.2018;10:14:00;109260;109390;109260;109390;872
SPFB.RTS-12.18;1;29.10.2018;10:15:00;109400;109440;109370;109410;985
SPFB.RTS-12.18;1;29.10.2018;10:16:00;109410;109530;109380;109440;1621
SPFB.RTS-12.18;1;29.10.2018;10:17:00;109450;109470;109420;109460;563
SPFB.RTS-12.18;1;29.10.2018;10:18:00;109450;109470;109420;109460;398
SPFB.RTS-12.18;1;29.10.2018;10:19:00;109450;109470;109320;109340;1045
SPFB.RTS-12.18;1;29.10.2018;10:20:00;109330;109370;109310;109370;485
SPFB.RTS-12.18;1;29.10.2018;10:21:00;109380;109520;109380;109510;977
SPFB.RTS-12.18;1;29.10.2018;10:22:00;109510;109700;109500;109700;1541
SPFB.RTS-12.18;1;29.10.2018;10:23:00;109700;109830;109670;109790;2444
SPFB.RTS-12.18;1;29.10.2018;10:24:00;109790;109870;109770;109860;1267
SPFB.RTS-12.18;1;29.10.2018;10:25:00;109870;109880;109820;109820;888
SPFB.RTS-12.18;1;29.10.2018;10:26:00;109820;109970;109820;109950;1667
SPFB.RTS-12.18;1;29.10.2018;10:27:00;109950;110100;109930;110000;2848
SPFB.RTS-12.18;1;29.10.2018;10:28:00;110010;110220;110000;110110;2507
SPFB.RTS-12.18;1;29.10.2018;10:29:00;110120;110160;110080;110110;965
SPFB.RTS-12.18;1;29.10.2018;10:30:00;110130;110180;110080;110160;706
SPFB.RTS-12.18;1;29.10.2018;10:31:00;110160;110280;110160;110270;1977
SPFB.RTS-12.18;1;29.10.2018;10:32:00;110270;110310;110250;110280;1528
SPFB.RTS-12.18;1;29.10.2018;10:33:00;110290;110330;110230;110250;1252
SPFB.RTS-12.18;1;29.10.2018;10:34:00;110250;110280;110220;110220;550
SPFB.RTS-12.18;1;29.10.2018;10:35:00;110220;110230;109970;109990;3645
SPFB.RTS-12.18;1;29.10.2018;10:36:00;109990;110010;109950;110010;1680
SPFB.RTS-12.18;1;29.10.2018;10:37:00;110010;110100;109990;110010;1174
SPFB.RTS-12.18;1;29.10.2018;10:38:00;110010;110050;109830;109840;1194
SPFB.RTS-12.18;1;29.10.2018;10:39:00;109840;109850;109770;109810;683
SPFB.RTS-12.18;1;29.10.2018;10:40:00;109810;109880;109800;109860;541
SPFB.RTS-12.18;1;29.10.2018;10:41:00;109840;109930;109840;109860;504
SPFB.RTS-12.18;1;29.10.2018;10:42:00;109870;110030;109860;110010;1347
SPFB.RTS-12.18;1;29.10.2018;10:43:00;110020;110050;109970;110050;460
SPFB.RTS-12.18;1;29.10.2018;10:44:00;110030;110050;109980;110030;313
SPFB.RTS-12.18;1;29.10.2018;10:45:00;110030;110090;110020;110040;472
SPFB.RTS-12.18;1;29.10.2018;10:46:00;110040;110050;109960;109970;1011
SPFB.RTS-12.18;1;29.10.2018;10:47:00;109970;110040;109920;110010;632
SPFB.RTS-12.18;1;29.10.2018;10:48:00;110000;110020;109920;109930;491
SPFB.RTS-12.18;1;29.10.2018;10:49:00;109920;110000;109910;110000;260
SPFB.RTS-12.18;1;29.10.2018;10:50:00;110000;110110;109980;110040;1054
SPFB.RTS-12.18;1;29.10.2018;10:51:00;110050;110070;109960;110010;824
SPFB.RTS-12.18;1;29.10.2018;10:52:00;110000;110160;110000;110110;770
SPFB.RTS-12.18;1;29.10.2018;10:53:00;110110;110220;110070;110080;1046
SPFB.RTS-12.18;1;29.10.2018;10:54:00;110080;110100;109990;110010;685
SPFB.RTS-12.18;1;29.10.2018;10:55:00;110000;110010;109930;109940;432
SPFB.RTS-12.18;1;29.10.2018;10:56:00;109950;109980;109730;109760;1962
SPFB.RTS-12.18;1;29.10.2018;10:57:00;109740;109860;109730;109820;447
SPFB.RTS-12.18;1;29.10.2018;10:58:00;109820;109860;109690;109770;1346
SPFB.RTS-12.18;1;29.10.2018;10:59:00;109760;109790;109660;109680;533
SPFB.RTS-12.18;1;29.10.2018;11:00:00;109670;109790;109610;109760;1111
SPFB.RTS-12.18;1;29.10.2018;11:01:00;109770;109790;109690;109700;1009
SPFB.RTS-12.18;1;29.10.2018;11:02:00;109700;109790;109680;109780;392
SPFB.RTS-12.18;1;29.10.2018;11:03:00;109780;109940;109780;109880;1588
SPFB.RTS-12.18;1;29.10.2018;11:04:00;109880;109960;109880;109900;683
SPFB.RTS-12.18;1;29.10.2018;11:05:00;109910;109930;109870;109870;318
SPFB.RTS-12.18;1;29.10.2018;11:06:00;109890;110050;109890;110040;935
SPFB.RTS-12.18;1;29.10.2018;11:07:00;110050;110130;110010;110020;923
SPFB.RTS-12.18;1;29.10.2018;11:08:00;110030;110070;109990;110060;446
SPFB.RTS-12.18;1;29.10.2018;11:09:00;110060;110090;110010;110010;311
SPFB.RTS-12.18;1;29.10.2018;11:10:00;110010;110010;109960;109990;327
SPFB.RTS-12.18;1;29.10.2018;11:11:00;110000;110060;109960;109960;521
SPFB.RTS-12.18;1;29.10.2018;11:12:00;109960;110020;109950;109980;258
SPFB.RTS-12.18;1;29.10.2018;11:13:00;109990;110020;109950;109980;575
SPFB.RTS-12.18;1;29.10.2018;11:14:00;109990;110000;109930;109980;443
SPFB.RTS-12.18;1;29.10.2018;11:15:00;109990;110040;109980;110040;467
SPFB.RTS-12.18;1;29.10.2018;11:16:00;110030;110060;109960;109960;435
SPFB.RTS-12.18;1;29.10.2018;11:17:00;109970;110000;109860;109860;662
SPFB.RTS-12.18;1;29.10.2018;11:18:00;109880;109940;109820;109910;680
SPFB.RTS-12.18;1;29.10.2018;11:19:00;109910;109980;109880;109940;311
SPFB.RTS-12.18;1;29.10.2018;11:20:00;109940;110250;109930;110170;2224
SPFB.RTS-12.18;1;29.10.2018;11:21:00;110170;110240;110130;110220;820
SPFB.RTS-12.18;1;29.10.2018;11:22:00;110230;110300;110180;110230;1167
SPFB.RTS-12.18;1;29.10.2018;11:23:00;110230;110360;110220;110330;1763
SPFB.RTS-12.18;1;29.10.2018;11:24:00;110330;110360;110290;110310;742
SPFB.RTS-12.18;1;29.10.2018;11:25:00;110320;110350;110220;110250;644
SPFB.RTS-12.18;1;29.10.2018;11:26:00;110260;110300;110160;110170;1594
SPFB.RTS-12.18;1;29.10.2018;11:27:00;110170;110210;110140;110140;819
SPFB.RTS-12.18;1;29.10.2018;11:28:00;110150;110170;110080;110090;798
SPFB.RTS-12.18;1;29.10.2018;11:29:00;110090;110170;110080;110130;578
SPFB.RTS-12.18;1;29.10.2018;11:30:00;110140;110320;110140;110300;1314
SPFB.RTS-12.18;1;29.10.2018;11:31:00;110310;110380;110240;110250;1606
SPFB.RTS-12.18;1;29.10.2018;11:32:00;110260;110270;110210;110220;474
SPFB.RTS-12.18;1;29.10.2018;11:33:00;110220;110260;110210;110230;404
SPFB.RTS-12.18;1;29.10.2018;11:34:00;110230;110280;110170;110250;1451
SPFB.RTS-12.18;1;29.10.2018;11:35:00;110260;110340;110160;110220;1549
SPFB.RTS-12.18;1;29.10.2018;11:36:00;110210;110340;110210;110300;969
SPFB.RTS-12.18;1;29.10.2018;11:37:00;110300;110340;110280;110310;403
SPFB.RTS-12.18;1;29.10.2018;11:38:00;110310;110350;110280;110300;558
SPFB.RTS-12.18;1;29.10.2018;11:39:00;110290;110340;110290;110310;300
SPFB.RTS-12.18;1;29.10.2018;11:40:00;110310;110350;110290;110320;474
SPFB.RTS-12.18;1;29.10.2018;11:41:00;110320;110340;110230;110280;734
SPFB.RTS-12.18;1;29.10.2018;11:42:00;110260;110280;110220;110270;577
SPFB.RTS-12.18;1;29.10.2018;11:43:00;110280;110380;110230;110370;938
SPFB.RTS-12.18;1;29.10.2018;11:44:00;110360;110470;110350;110390;2219
SPFB.RTS-12.18;1;29.10.2018;11:45:00;110400;110450;110390;110450;499
SPFB.RTS-12.18;1;29.10.2018;11:46:00;110440;110460;110340;110340;812
SPFB.RTS-12.18;1;29.10.2018;11:47:00;110360;110400;110360;110380;344
SPFB.RTS-12.18;1;29.10.2018;11:48:00;110400;110410;110240;110310;1344
SPFB.RTS-12.18;1;29.10.2018;11:49:00;110320;110360;110320;110340;346
SPFB.RTS-12.18;1;29.10.2018;11:50:00;110340;110350;110280;110300;341
SPFB.RTS-12.18;1;29.10.2018;11:51:00;110300;110460;110270;110410;954
SPFB.RTS-12.18;1;29.10.2018;11:52:00;110410;110430;110320;110380;454
SPFB.RTS-12.18;1;29.10.2018;11:53:00;110390;110470;110340;110420;828
SPFB.RTS-12.18;1;29.10.2018;11:54:00;110420;110500;110400;110470;1027
SPFB.RTS-12.18;1;29.10.2018;11:55:00;110470;110500;110450;110470;566
SPFB.RTS-12.18;1;29.10.2018;11:56:00;110490;110500;110400;110490;541
SPFB.RTS-12.18;1;29.10.2018;11:57:00;110480;110490;110430;110470;635
SPFB.RTS-12.18;1;29.10.2018;11:58:00;110470;110530;110460;110510;1056
SPFB.RTS-12.18;1;29.10.2018;11:59:00;110510;110560;110490;110550;785
SPFB.RTS-12.18;1;29.10.2018;12:00:00;110550;110590;110450;110500;1482
SPFB.RTS-12.18;1;29.10.2018;12:01:00;110490;110520;110380;110450;1435
SPFB.RTS-12.18;1;29.10.2018;12:02:00;110460;110490;110380;110390;656
SPFB.RTS-12.18;1;29.10.2018;12:03:00;110380;110420;110320;110340;871
SPFB.RTS-12.18;1;29.10.2018;12:04:00;110330;110350;110310;110320;643
SPFB.RTS-12.18;1;29.10.2018;12:05:00;110320;110410;110320;110400;488
SPFB.RTS-12.18;1;29.10.2018;12:06:00;110400;110410;110340;110380;414
SPFB.RTS-12.18;1;29.10.2018;12:07:00;110380;110400;110340;110380;303
SPFB.RTS-12.18;1;29.10.2018;12:08:00;110390;110430;110360;110380;481
SPFB.RTS-12.18;1;29.10.2018;12:09:00;110390;110420;110360;110420;551
SPFB.RTS-12.18;1;29.10.2018;12:10:00;110430;110450;110400;110430;214
SPFB.RTS-12.18;1;29.10.2018;12:11:00;110430;110490;110420;110490;545
SPFB.RTS-12.18;1;29.10.2018;12:12:00;110490;110530;110430;110520;1114
SPFB.RTS-12.18;1;29.10.2018;12:13:00;110530;110560;110510;110530;755
SPFB.RTS-12.18;1;29.10.2018;12:14:00;110530;110560;110470;110500;789
SPFB.RTS-12.18;1;29.10.2018;12:15:00;110500;110540;110450;110470;469
SPFB.RTS-12.18;1;29.10.2018;12:16:00;110460;110490;110420;110480;586
SPFB.RTS-12.18;1;29.10.2018;12:17:00;110490;110500;110380;110380;691
SPFB.RTS-12.18;1;29.10.2018;12:18:00;110400;110400;110310;110320;648
SPFB.RTS-12.18;1;29.10.2018;12:19:00;110330;110370;110230;110340;1165
SPFB.RTS-12.18;1;29.10.2018;12:20:00;110340;110380;110320;110350;413
SPFB.RTS-12.18;1;29.10.2018;12:21:00;110350;110430;110340;110380;1102
SPFB.RTS-12.18;1;29.10.2018;12:22:00;110370;110400;110360;110380;365
SPFB.RTS-12.18;1;29.10.2018;12:23:00;110390;110390;110340;110340;240
SPFB.RTS-12.18;1;29.10.2018;12:24:00;110350;110480;110350;110460;638
SPFB.RTS-12.18;1;29.10.2018;12:25:00;110470;110480;110420;110440;442
SPFB.RTS-12.18;1;29.10.2018;12:26:00;110440;110520;110420;110440;784
SPFB.RTS-12.18;1;29.10.2018;12:27:00;110430;110480;110400;110430;293
SPFB.RTS-12.18;1;29.10.2018;12:28:00;110440;110440;110400;110420;549
SPFB.RTS-12.18;1;29.10.2018;12:29:00;110420;110530;110410;110520;573
SPFB.RTS-12.18;1;29.10.2018;12:30:00;110520;110530;110470;110520;435
SPFB.RTS-12.18;1;29.10.2018;12:31:00;110520;110570;110480;110530;738
SPFB.RTS-12.18;1;29.10.2018;12:32:00;110530;110560;110520;110530;289
SPFB.RTS-12.18;1;29.10.2018;12:33:00;110540;110590;110540;110560;747
SPFB.RTS-12.18;1;29.10.2018;12:34:00;110580;110720;110550;110670;2604
SPFB.RTS-12.18;1;29.10.2018;12:35:00;110680;110700;110610;110630;491
SPFB.RTS-12.18;1;29.10.2018;12:36:00;110630;110670;110600;110640;621
SPFB.RTS-12.18;1;29.10.2018;12:37:00;110630;110650;110590;110620;401
SPFB.RTS-12.18;1;29.10.2018;12:38:00;110620;110700;110620;110690;683
SPFB.RTS-12.18;1;29.10.2018;12:39:00;110690;110730;110680;110710;560
SPFB.RTS-12.18;1;29.10.2018;12:40:00;110710;110770;110680;110770;996
SPFB.RTS-12.18;1;29.10.2018;12:41:00;110760;110800;110720;110750;1547
SPFB.RTS-12.18;1;29.10.2018;12:42:00;110750;110820;110740;110750;787
SPFB.RTS-12.18;1;29.10.2018;12:43:00;110760;110760;110720;110740;554
SPFB.RTS-12.18;1;29.10.2018;12:44:00;110740;110770;110700;110750;448
SPFB.RTS-12.18;1;29.10.2018;12:45:00;110750;110810;110750;110760;441
SPFB.RTS-12.18;1;29.10.2018;12:46:00;110770;110790;110720;110750;486
SPFB.RTS-12.18;1;29.10.2018;12:47:00;110750;110790;110750;110760;218
SPFB.RTS-12.18;1;29.10.2018;12:48:00;110780;110790;110760;110760;232
SPFB.RTS-12.18;1;29.10.2018;12:49:00;110780;110800;110700;110730;687
SPFB.RTS-12.18;1;29.10.2018;12:50:00;110730;110770;110720;110750;171
SPFB.RTS-12.18;1;29.10.2018;12:51:00;110740;110780;110730;110760;445
SPFB.RTS-12.18;1;29.10.2018;12:52:00;110770;110770;110700;110710;391
SPFB.RTS-12.18;1;29.10.2018;12:53:00;110720;110740;110700;110740;311
SPFB.RTS-12.18;1;29.10.2018;12:54:00;110750;110760;110730;110740;296
SPFB.RTS-12.18;1;29.10.2018;12:55:00;110740;110790;110730;110750;504
SPFB.RTS-12.18;1;29.10.2018;12:56:00;110760;110770;110700;110720;384
SPFB.RTS-12.18;1;29.10.2018;12:57:00;110720;110730;110690;110700;182
SPFB.RTS-12.18;1;29.10.2018;12:58:00;110700;110810;110700;110810;1063
SPFB.RTS-12.18;1;29.10.2018;12:59:00;110810;110830;110790;110800;610
SPFB.RTS-12.18;1;29.10.2018;13:00:00;110800;110850;110790;110840;1212
SPFB.RTS-12.18;1;29.10.2018;13:01:00;110840;110940;110830;110870;2663
SPFB.RTS-12.18;1;29.10.2018;13:02:00;110870;110950;110860;110920;903
SPFB.RTS-12.18;1;29.10.2018;13:03:00;110910;110970;110900;110970;1014
SPFB.RTS-12.18;1;29.10.2018;13:04:00;110970;110980;110940;110960;1002
SPFB.RTS-12.18;1;29.10.2018;13:05:00;110950;111000;110940;111000;978
